,Latitude,Longitude,Problem
1,-6.927016,52.833492,Public fast
2,-6.736986,52.801581,Private fast
3,-7.204457,53.86385,Public fast
4,-9.290289,53.027069,Private low
5,-8.897258,52.761544,Public fast
6,-8.877285,52.708176,Public low
7,-8.534676,51.886038,Public low
8,-8.389447,51.814197,Private fast
9,-8.88957,51.620831,Private fast
10,-8.295589,51.852858,Private fast
11,-8.30804,51.803537,Private low
12,-9.111555,51.721685,Public low
13,-9.553212,51.750022,Public fast
14,-8.331938,51.849032,Private fast
15,-7.850032,51.956697,Private low
16,-7.783045,54.797965,Private fast
17,-8.188621,54.501145,Public fast
18,-7.262612,55.251378,Public low
19,-8.284545,54.798248,Public low
20,-8.443325,54.636031,Private low
21,-7.768815,54.804946,Public fast
22,-6.185082,53.251009,Private fast
23,-6.242058,53.41601,Private low
24,-6.212747,53.353856,Public fast
25,-6.315448,53.31948,Public fast
26,-6.116236,53.391623,Public low
27,-6.364012,53.375177,Public fast
28,-6.149376,53.260088,Public fast
29,-6.169813,53.252775,Private low
30,-6.203613,53.277164,Private low
31,-6.213815,53.280332,Private fast
32,-6.248054,53.338006,Public low
33,-6.255804,53.332326,Public fast
34,-6.242715,53.336496,Private low
35,-6.24871,53.3344,Public fast
36,-6.183082,53.360832,Public low
37,-6.228056,53.342945,Public fast
38,-6.232894,53.338798,Public low
39,-6.15157,53.451232,Private fast
40,-6.421705,53.283222,Public low
41,-6.199702,53.290457,Private fast
42,-6.223713,53.45423,Private fast
43,-10.019564,53.488862,Public fast
44,-9.050699,53.278213,Private low
45,-9.052773,53.276523,Public fast
46,-10.227204,51.946705,Private low
47,-9.589492,51.884003,Public low
48,-9.786073,52.107344,Public low
49,-9.48427,52.449026,Private fast
50,-9.714192,52.260883,Private low
51,-9.699875,52.270976,Private fast
52,-9.71,52.271,Public fast
53,-9.70961,52.2666,Public low
54,-6.523586,53.323004,Public low
55,-6.908265,53.162374,Public fast
56,-7.06519,53.145372,Private low
57,-7.260136,52.655331,Private fast
58,-7.135967,52.526499,Public low
59,-7.346601,52.91297,Public low
60,-7.333091,53.118234,Private fast
61,-7.187451,53.160461,Private fast
62,-7.298964,53.032991,Public low
63,-8.790471,52.565132,Public low
64,-8.5739,52.675091,Public low
65,-9.099685,52.607471,Private fast
66,-8.632049,52.661893,Public low
67,-8.623874,52.667322,Public fast
68,-7.800276,53.725111,Public fast
69,-6.185322,54.040456,Public fast
70,-6.354049,53.71713,Public low
71,-6.402563,54.010244,Private low
72,-6.387454,54.003855,Private fast
73,-8.765583,53.762046,Private fast
74,-9.989089,54.222996,Private fast
75,-9.3007,53.8569,Public fast
76,-8.9525,53.9386,Public fast
77,-9.5241,53.8005,Private fast
78,-6.834811,53.415451,Private low
79,-6.683919,53.654434,Private low
80,-6.47119,53.43385,Public low
81,-6.734236,54.118976,Public low
82,-7.232457,54.180374,Private low
83,-8.30158,53.971854,Private low
84,-8.528397,54.389519,Public fast
