"","Latitude","Longitude","problem"
"1",53.39853095,-1.309655298,"Private"
"9",53.52809467,-1.186867172,"Public"
"19",53.76582306,-1.644980178,"Light"
"29",53.84949597,-0.728721562,"Light"
"50",53.57369669,-1.729647958,"Light"
"52",53.65382441,-1.396274489,"PotHole"
"54",53.74712989,-1.454076566,"PotHole"
"62",53.69417184,-1.744627651,"PotHole"
"64",53.73146619,-2.153056512,"PotHole"
"65",53.7912617,-1.753601957,"PotHole"
"68",53.83447086,-1.788753042,"Accident"
"70",53.72098979,-1.683242864,"Accident"
"80",53.68229779,-0.411701254,"PotHole"
"116",53.42488063,-1.36039466,"PotHole"
"122",53.55128391,-1.476220778,"Light"
"138",53.32370083,-1.521047115,"Light"
"146",53.66659615,-1.539871734,"PotHole"
"154",53.89952254,-1.371433221,"Accident"
"156",53.57913577,-0.664647463,"Accident"
"165",53.95821342,-2.077687528,"PotHole"
"170",53.6934227,-1.505201894,"PotHole"
"171",53.40575477,-1.496059425,"Light"
"181",53.95601866,-0.532386922,"Light"
"183",54.09065743,-0.218774284,"PotHole"
"218",53.85940236,-1.682199308,"Light"
"228",53.40365968,-1.429902747,"Light"
"234",53.52429964,-1.096434402,"Accident"
"236",53.4267031,-1.365032643,"Light"
"240",53.79600739,-1.470141714,"PotHole"
"264",53.79834117,-1.558168311,"Light"
"278",53.38967469,-1.409835592,"Light"
"300",53.54548406,-0.190429789,"Light"
"307",54.00590742,-1.543768085,"PotHole"
"309",54.05039467,-1.543281154,"Light"
"311",53.77615739,-1.515913863,"PotHole"
"318",53.78013197,-0.997100962,"Light"
"321",53.88018618,-1.727676648,"Light"
"337",53.36073886,-1.479160134,"Accident"
"358",53.7021255,-1.272888473,"Light"
"360",53.78617833,-1.773817854,"Accident"
"363",53.76598726,-1.705660008,"Accident"
"367",53.73879715,-1.546664228,"PotHole"
"375",53.74769207,-0.294493424,"PotHole"
"394",53.87416905,-1.90946778,"Light"
"448",53.40515353,-1.404462156,"Light"
"449",53.56581633,-1.503188777,"Light"
"450",53.53353757,-1.156406909,"Accident"
"457",53.57056676,-0.70282187,"PotHole"
"477",53.7299155,-1.660439858,"PotHole"
"512",53.65749869,-1.850162838,"Light"
"528",53.90058679,-1.626642024,"PotHole"
"551",53.52236439,-1.138709594,"Light"
"567",53.79783303,-1.758573463,"PotHole"
"600",53.6065971,-0.990394746,"Light"
"606",53.7333208,-1.273866314,"Accident"
"607",54.19207645,-1.465091555,"Light"
"610",53.76650093,-1.091243545,"Accident"
"622",53.78357712,-1.576535381,"PotHole"
"651",53.5001301,-1.172326582,"Light"
"652",53.40502565,-1.345650575,"Light"
"658",53.67902781,-1.501888524,"PotHole"
"678",53.90966621,-1.727637324,"Accident"
"683",53.49464278,-1.298147308,"PotHole"
"684",53.53768562,-1.850585441,"Accident"
"688",53.90053847,-1.706390056,"Light"
"698",53.41205916,-1.498993783,"Accident"
"701",53.71238871,-1.913602202,"Light"
"716",53.6156259,-0.183636513,"PotHole"
"723",53.79700527,-1.561522286,"Accident"
"725",53.80739769,-1.754858937,"PotHole"
"754",53.71236011,-1.880270196,"Light"
"766",53.74442524,-1.642886052,"Accident"
"771",54.28966788,-1.387016996,"Light"
"774",53.46421559,-1.504405275,"Light"
"775",53.81091002,-1.530700364,"Light"
"778",53.38768773,-1.475222885,"PotHole"
"782",53.85110053,-1.393440405,"PotHole"
"786",53.56106944,-0.656761568,"Accident"
"787",54.48255157,-1.17793038,"Light"
"793",53.72992405,-1.663471254,"PotHole"
"822",53.6754308,-1.5014768,"PotHole"
"836",53.70962525,-2.152977097,"Light"
"837",53.552785,-0.054252003,"PotHole"
"847",53.7913634,-1.567197511,"Light"
"851",53.96223349,-1.076643391,"PotHole"
"875",53.90274926,-1.955826374,"PotHole"
"907",53.70715767,-0.925875283,"Light"
"908",53.50025844,-0.143053166,"Light"
"924",53.853978,-1.342471069,"PotHole"
"927",54.46691221,-1.666713791,"Light"
"934",53.60381213,-1.551495227,"Light"
"949",53.89434169,-1.731510632,"PotHole"
"954",53.75301767,-1.831625039,"PotHole"
"957",53.67097882,-1.834857912,"PotHole"
"958",53.6710204,-1.832435971,"Accident"
"965",53.70765257,-1.743940145,"PotHole"
"973",53.41873231,-1.115224904,"Accident"
"997",53.73254531,-0.201658491,"PotHole"
"1008",53.7105755,-1.546967494,"PotHole"
"1009",53.73204418,-1.498533877,"PotHole"
"1026",53.63094039,-0.227155809,"PotHole"
"1041",53.91812207,-1.164084425,"PotHole"
"1044",53.93188932,-1.373384034,"Light"
"1055",53.80679226,-1.534998157,"PotHole"
"1057",53.80814334,-1.535742494,"PotHole"
"1060",53.78493867,-1.531748929,"Accident"
"1061",53.78746702,-1.534756417,"Accident"
"1064",53.57398858,-0.092548694,"Light"
"1086",54.29934685,-1.567421889,"PotHole"
"1093",53.37523058,-1.463350982,"Light"
"1095",53.3739857,-1.466372777,"Light"
"1111",53.55652777,-1.483250879,"Accident"
"1115",53.9229847,-1.127441048,"Accident"
"1116",53.92383341,-1.120570778,"Light"
"1130",53.54440454,-0.092068052,"PotHole"
"1131",53.56568111,-0.101530085,"Light"
"1157",53.40129839,-1.505136278,"Light"
"1165",53.45678808,-1.450275749,"Light"
"1167",53.46404549,-1.464943364,"PotHole"
"1182",54.07877043,-0.205219883,"PotHole"
"1185",53.70289691,-1.395572664,"PotHole"
"1203",53.78057195,-1.364105995,"Accident"
"1237",53.75382883,-1.444890115,"Light"
"1239",53.79276002,-1.428437346,"Accident"
"1248",53.87190834,-1.892743253,"PotHole"
"1279",54.47989746,-0.627909777,"Light"
"1284",53.98714525,-1.031696534,"Accident"
"1289",53.6989209,-1.324290127,"Light"
"1290",53.76983659,-1.839902252,"Light"
"1307",53.35034769,-1.374279562,"PotHole"
